,patient_id,threshold,community_size,f1_mean,f1_std,f1_median,f1_min,f1_max,precision_mean,precision_std,precision_median,precision_min,precision_max,recall_mean,recall_std,recall_median,recall_min,recall_max
602,R508-0013,0.9,34,0.08178571428571428,0.08560633082635315,0.07142857142857142,0.0,0.1875,0.105,0.1066536450385077,0.125,0.0,0.25,0.06999999999999999,0.0758287544405155,0.05,0.0,0.15
603,R508-0013,0.95,1,0.1261904761904762,0.035063515416721765,0.125,0.07142857142857142,0.16666666666666666,0.22916666666666666,0.08838834764831845,0.1875,0.16666666666666666,0.375,0.09666666666666666,0.03845993586404775,0.1,0.041666666666666664,0.15
604,R508-0013,0.98,0,,,,,,,,,,,,,,,
605,R509-0009,0.75,253,0.22091714559386974,0.03238371276244152,0.203125,0.1896551724137931,0.2586805555555556,0.24730069659442724,0.11077702091490563,0.17647058823529413,0.17105263157894737,0.42105263157894735,0.25096153846153846,0.030812394604162192,0.25,0.21153846153846154,0.28125
606,R509-0009,0.85,134,0.2504040404040404,0.03266800239662911,0.253125,0.203125,0.29403409090909094,0.32675438596491224,0.10097249502825735,0.33771929824561403,0.17105263157894737,0.42105263157894735,0.27740384615384617,0.02371172172241864,0.28125,0.25,0.3125
607,R509-0009,0.9,63,0.25238879176379175,0.05590615167941523,0.2525252525252525,0.19696969696969696,0.3185096153846154,0.2942105263157895,0.1258974019476753,0.32105263157894737,0.1625,0.4125,0.2875,0.040745015032516554,0.28125,0.25,0.34375
608,R509-0009,0.95,7,0.20808080808080806,0.02484519974999765,0.19696969696969696,0.19696969696969696,0.2525252525252525,0.2125,0.11180339887498947,0.1625,0.1625,0.4125,0.25625,0.013975424859373685,0.25,0.25,0.28125
609,R509-0009,0.98,0,,,,,,,,,,,,,,,
610,R509-0013,0.75,241,0.26907144579558373,0.04087964238489626,0.27055702917771884,0.229020979020979,0.3333333333333333,0.37235347985347983,0.030349314629147535,0.3814102564102564,0.3375,0.40625,0.21984126984126987,0.05361550215236863,0.21031746031746032,0.17261904761904762,0.29960317460317465
611,R509-0013,0.85,110,0.2545270046971938,0.026287683148409912,0.2582417582417582,0.22552447552447552,0.2877984084880637,0.3743601986249045,0.031918839840384634,0.38235294117647056,0.33035714285714285,0.40909090909090906,0.21865079365079365,0.03699745144539379,0.22619047619047616,0.18055555555555555,0.2619047619047619
612,R509-0013,0.9,39,0.2862887112887113,0.021080195660870587,0.27901785714285715,0.26278409090909094,0.31009615384615385,0.382046783625731,0.044989991059231474,0.4027777777777778,0.3027777777777778,0.40789473684210525,0.2777777777777778,0.017801942901712657,0.27976190476190477,0.251984126984127,0.2976190476190476
613,R509-0013,0.95,2,0.2814887814887815,0.027785107350136493,0.27662337662337666,0.2623376623376623,0.3295218295218295,0.3973084886128364,0.006833474395264771,0.39285714285714285,0.3913043478260869,0.40476190476190477,0.29166666666666663,0.03018873820377568,0.2876984126984127,0.2698412698412698,0.34325396825396826
614,R509-0013,0.98,0,,,,,,,,,,,,,,,
615,R509-0015,0.75,208,0.02,0.044721359549995794,0.0,0.0,0.1,0.05,0.11180339887498948,0.0,0.0,0.25,0.0125,0.02795084971874737,0.0,0.0,0.0625
616,R509-0015,0.85,42,0.15297619047619046,0.024324781835360177,0.14285714285714285,0.125,0.1875,0.15916666666666665,0.02327373340628157,0.16666666666666666,0.125,0.1875,0.15,0.03423265984407288,0.125,0.125,0.1875
617,R509-0015,0.9,11,0.17682983682983683,0.017451098418419613,0.18181818181818182,0.15384615384615385,0.2,0.13769841269841268,0.02097926966331159,0.14285714285714285,0.1111111111111111,0.16666666666666666,0.25,0.0,0.25,0.25,0.25
618,R509-0015,0.95,0,,,,,,,,,,,,,,,
619,R509-0015,0.98,0,,,,,,,,,,,,,,,
620,R510-0011,0.75,233,0.16844169246646026,0.04920959597785413,0.15789473684210525,0.11764705882352941,0.25,0.18141802641802643,0.12260150953673961,0.1346153846153846,0.1111111111111111,0.4,0.19125,0.04275657844121767,0.1875,0.125,0.2375
621,R510-0011,0.85,90,0.16052136269527573,0.014790791403336046,0.1590909090909091,0.14285714285714285,0.18181818181818182,0.12498168498168498,0.010963301733136189,0.125,0.11538461538461539,0.14285714285714285,0.225,0.02614562582918986,0.21875,0.1875,0.25
622,R510-0011,0.9,16,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.125,0.0,0.125,0.125,0.125,0.25,0.0,0.25,0.25,0.25
623,R510-0011,0.95,0,,,,,,,,,,,,,,,
624,R510-0011,0.98,0,,,,,,,,,,,,,,,
625,R511-0011,0.75,202,0.3427131717197553,0.035038190519713984,0.3532268170426065,0.2936507936507936,0.376984126984127,0.5053235846840498,0.09762960711370901,0.5392441860465116,0.3522727272727273,0.6022727272727273,0.31494047619047616,0.02107050374618306,0.319047619047619,0.2857142857142857,0.3380952380952381
626,R511-0011,0.85,58,0.3408899923605806,0.05192259926647633,0.3692226890756303,0.2647058823529412,0.3887032085561497,0.47579365079365077,0.12186764106511422,0.4097222222222222,0.3472222222222222,0.6150793650793651,0.32285714285714284,0.03804311910930314,0.33571428571428574,0.26666666666666666,0.35714285714285715
627,R511-0011,0.9,8,0.34249649859943976,0.05512310428807731,0.3568218954248366,0.2591036414565826,0.40513538748832867,0.39388888888888884,0.09800085033644688,0.38888888888888884,0.2638888888888889,0.5222222222222221,0.35095238095238096,0.06398961792208217,0.3738095238095238,0.26666666666666666,0.41904761904761906
628,R511-0011,0.95,0,,,,,,,,,,,,,,,
629,R511-0011,0.98,0,,,,,,,,,,,,,,,
630,R511-0012,0.75,257,0.3545062743481789,0.01569793043556121,0.3646073048460253,0.33696074881656407,0.3669718309859155,0.44483948044065214,0.03453580984618193,0.4428904428904429,0.4073920265780731,0.4825310559006211,0.35944094106233326,0.016223897237974422,0.3547629153528984,0.3394827795294688,0.3827916565607567
631,R511-0012,0.85,149,0.38263611468437353,0.027155499182064245,0.3837829023992546,0.3575650513248986,0.4232772435897436,0.42874509836591246,0.017207333030906324,0.42974290780141844,0.401578073089701,0.4470995670995671,0.40954098957070095,0.03891820562646978,0.40737933543536264,0.3738630851321853,0.4702583070579675
632,R511-0012,0.9,77,0.36365796313582965,0.014110776918273586,0.3683160083160083,0.3458457711442786,0.37726866883116883,0.3884692399149614,0.020992215656139165,0.39514066496163686,0.3625,0.41220238095238093,0.39884186272131944,0.02405818934709251,0.40574217802570944,0.359841135095804,0.4248423478049964
633,R511-0012,0.95,15,0.4008085592252664,0.023412989731010695,0.40123287671232877,0.3665654520917679,0.43000000000000005,0.44481177753397316,0.03604109285918619,0.460727969348659,0.3824754901960784,0.4707843137254902,0.43987994178995876,0.025752571511709683,0.4265704584040747,0.4197489691971865,0.4791868784865389
634,R511-0012,0.98,1,0.43439629233960475,0.028868003678768166,0.4437007540455816,0.3843620147967974,0.4576614861583293,0.44558420920359193,0.018502286432760064,0.4514035087719298,0.41901993355481726,0.4676423200859291,0.5021950036381276,0.030515716392991984,0.5118390734901771,0.45373514431239387,0.5275891341256367
635,R512-0014,0.75,202,0.22553990127519538,0.023637387297030587,0.22916666666666666,0.19696969696969696,0.25133689839572193,0.26421052631578945,0.10401748320030899,0.2583333333333333,0.17105263157894737,0.425,0.2542857142857143,0.019948914348241358,0.25,0.23214285714285715,0.275
636,R512-0014,0.85,91,0.22853009735362675,0.02765762253123325,0.24434389140271492,0.19696969696969696,0.2537878787878788,0.24105263157894735,0.0686516301477628,0.2583333333333333,0.16666666666666666,0.3092105263157895,0.26142857142857145,0.019626616662905844,0.275,0.23214285714285715,0.275
637,R512-0014,0.9,29,0.20732620320855616,0.021654122624192865,0.2,0.19117647058823528,0.24545454545454548,0.21583333333333332,0.11228374276309498,0.16666666666666666,0.1625,0.41666666666666663,0.25142857142857145,0.01527803545443389,0.25,0.23214285714285715,0.275
638,R512-0014,0.95,2,0.20714285714285716,0.01597191412499849,0.2,0.2,0.2357142857142857,0.17916666666666667,0.02795084971874737,0.16666666666666666,0.16666666666666666,0.22916666666666666,0.255,0.011180339887498959,0.25,0.25,0.275
639,R512-0014,0.98,0,,,,,,,,,,,,,,,
640,R513-0017,0.75,220,0.30863946354750416,0.02743298041363894,0.3085227272727273,0.2724503447566121,0.348938611589214,0.409929455989884,0.1007166807941872,0.375,0.33854166666666663,0.5861702127659575,0.30251068376068374,0.02478954992383855,0.29947916666666663,0.26489049145299143,0.328392094017094
641,R513-0017,0.85,105,0.33807916743023314,0.0376010700956792,0.34259259259259256,0.29417670682730923,0.3879057952294842,0.39339434694304154,0.0786182236460671,0.35378787878787876,0.31117021276595747,0.4831053351573188,0.33187767094017095,0.02206272771197908,0.336071047008547,0.3055555555555556,0.3580395299145299
642,R513-0017,0.9,44,0.35678077082180726,0.03001024199415793,0.3704823392771743,0.31,0.3864768129474012,0.45834513188473947,0.14663104083308023,0.3611702127659574,0.3345959595959596,0.630701754385965,0.355088141025641,0.030463482149725687,0.3569043803418803,0.3081597222222222,0.3923611111111111
643,R513-0017,0.95,2,0.3689180386451471,0.04014231031146973,0.38421742525658187,0.3181476846057572,0.41388919545304054,0.451745251081679,0.06177095836784674,0.4604166666666667,0.35034013605442177,0.5043478260869565,0.35767895299145297,0.03428257317602579,0.37279647435897434,0.3145032051282051,0.3926282051282051
644,R513-0017,0.98,0,,,,,,,,,,,,,,,
645,R513-0018,0.75,203,0.4075364190466297,0.025516843087363256,0.4167758667758668,0.3773612321999419,0.43098568098568096,0.5220011045596812,0.1327921997114372,0.6154829545454545,0.36961206896551724,0.6240970072239422,0.4302597402597403,0.02177633329422472,0.4285714285714286,0.4023809523809524,0.45238095238095244
646,R513-0018,0.85,54,0.3909803846884783,0.008849940668352757,0.3932098765432098,0.3773558758314856,0.40069444444444446,0.3634600894856221,0.009229611993895204,0.36336206896551726,0.3524764150943396,0.37619617224880386,0.43857142857142856,0.013057304364948834,0.4380952380952381,0.4178571428571428,0.4523809523809524
647,R513-0018,0.9,19,0.3914961043609321,0.009324413442361887,0.3886501516683519,0.3830719841955797,0.4061594202898551,0.3471948725529553,0.009597075862516905,0.34928229665071775,0.33692365835222976,0.3573232323232324,0.45690476190476187,0.013078994254259303,0.44999999999999996,0.44880952380952377,0.4797619047619047
648,R513-0018,0.95,1,0.4043831588802507,0.0030881449536962276,0.40527133636146306,0.4001196172248804,0.4083924349881797,0.35591232090820923,0.002406649804318557,0.355751893256401,0.3523550724637681,0.3590643274853801,0.4797619047619048,0.006786758482732967,0.48214285714285715,0.47023809523809523,0.4880952380952381
649,R513-0018,0.98,0,,,,,,,,,,,,,,,
650,R514-0012,0.75,98,0.1671362199966319,0.0232161808286246,0.17391304347826086,0.13157894736842105,0.19047619047619047,0.1615773115773116,0.01609371944666155,0.16666666666666666,0.1388888888888889,0.18181818181818182,0.17500000000000002,0.03535533905932738,0.2,0.125,0.2
651,R514-0012,0.85,19,0.15491436100131753,0.03258058968945352,0.16666666666666666,0.1,0.18181818181818182,0.1395970695970696,0.02519510205893599,0.14285714285714285,0.1,0.16666666666666666,0.17500000000000002,0.04330127018922193,0.2,0.1,0.2
652,R514-0012,0.9,3,0.15049472990777338,0.016277836139536175,0.14583333333333334,0.13636363636363635,0.17391304347826086,0.13243589743589743,0.01250082180073065,0.125,0.125,0.15384615384615385,0.175,0.02500000000000001,0.175,0.15,0.2
653,R514-0012,0.95,1,,,,,,,,,,,,,,,
654,R514-0012,0.98,0,,,,,,,,,,,,,,,
655,R514-0013,0.75,235,0.23133031075678134,0.051971620954682204,0.256712962962963,0.165158371040724,0.2822802197802198,0.36180860805860804,0.11704974698347421,0.3653846153846154,0.18681318681318682,0.475,0.2175595238095238,0.05429406786186373,0.24107142857142858,0.1369047619047619,0.2648809523809524
656,R514-0013,0.85,120,0.2264958016699503,0.043695127895950134,0.23637820512820512,0.15587044534412955,0.26737967914438504,0.37833333333333335,0.08283182426526117,0.4166666666666667,0.25,0.44999999999999996,0.19613095238095238,0.051219451240462836,0.2157738095238095,0.10565476190476189,0.2306547619047619
657,R514-0013,0.9,39,0.22869213809925884,0.04975718787207417,0.24444444444444444,0.1598336304218657,0.2835406698564593,0.33808823529411763,0.1270526420870862,0.30294117647058827,0.1875,0.475,0.23541666666666666,0.07036975654394734,0.22916666666666669,0.13988095238095238,0.337797619047619
658,R514-0013,0.95,4,0.3137302183381935,0.030983377745154975,0.29551820728291317,0.2863759296822177,0.3545300200648248,0.41914385373081026,0.05668447556442066,0.3832298136645963,0.38247863247863245,0.5119047619047619,0.4193452380952381,0.05344106161301934,0.42410714285714285,0.34523809523809523,0.4776785714285714
659,R514-0013,0.98,0,,,,,,,,,,,,,,,
660,R514-0014,0.75,234,0.13468253968253968,0.07232332013551743,0.125,0.05555555555555555,0.25,0.11047619047619048,0.08160798947148638,0.08333333333333333,0.03571428571428571,0.25,0.2,0.06846531968814576,0.25,0.125,0.25
661,R514-0014,0.85,101,0.0913888888888889,0.01895210011490632,0.1,0.0625,0.1111111111111111,0.06011904761904762,0.011015925906739134,0.0625,0.041666666666666664,0.07142857142857142,0.2,0.06846531968814576,0.25,0.125,0.25
662,R514-0014,0.9,31,0.07470862470862472,0.017338176477052783,0.07692307692307693,0.045454545454545456,0.09090909090909091,0.044848484848484846,0.010408207462056415,0.045454545454545456,0.027777777777777776,0.05555555555555555,0.225,0.05590169943749474,0.25,0.125,0.25
663,R514-0014,0.95,1,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.25,0.0,0.25,0.25,0.25
664,R514-0014,0.98,0,,,,,,,,,,,,,,,
665,R514-0016,0.75,280,0.07396825396825396,0.05300969453590182,0.07142857142857142,0.0,0.14285714285714285,0.07666666666666666,0.06078194176270156,0.08333333333333333,0.0,0.16666666666666666,0.075,0.05229125165837972,0.0625,0.0,0.125
666,R514-0016,0.85,157,0.09698412698412698,0.04866056765021674,0.1,0.03571428571428571,0.16666666666666666,0.11666666666666667,0.08312473893025002,0.1,0.025,0.25,0.1125,0.08149003006503311,0.0625,0.0625,0.25
667,R514-0016,0.9,68,0.10025252525252525,0.06655849044058632,0.1111111111111111,0.0,0.18181818181818182,0.09857142857142857,0.05717632948223613,0.125,0.0,0.14285714285714285,0.1125,0.09270248108869579,0.125,0.0,0.25
668,R514-0016,0.95,3,0.10500000000000001,0.11374313166077327,0.125,0.0,0.275,0.1,0.10458250331675945,0.125,0.0,0.25,0.1125,0.128086884574495,0.125,0.0,0.3125
669,R514-0016,0.98,0,,,,,,,,,,,,,,,
670,R514-0017,0.75,174,0.21081889686540847,0.047150757083341106,0.20378787878787877,0.15,0.27542870566126376,0.22120600414078675,0.08829347345640788,0.17559523809523808,0.125,0.3194444444444444,0.25104166666666666,0.04755486901600751,0.2569444444444444,0.1875,0.31770833333333337
671,R514-0017,0.85,59,0.3494341692403876,0.039037454458539955,0.36041666666666666,0.2924589027530204,0.39345314505776635,0.3661942655046103,0.05042163378536447,0.35,0.30406746031746035,0.42032967032967034,0.38402777777777775,0.04542842504090947,0.375,0.3315972222222222,0.4565972222222222
672,R514-0017,0.9,22,0.34145270749921913,0.05987417879291073,0.3277777777777778,0.29444444444444445,0.4448107448107448,0.3404017354068064,0.05693259609785177,0.3254310344827586,0.28376436781609193,0.43572515212981744,0.38819444444444445,0.06403167543571649,0.3732638888888889,0.34548611111111116,0.5
673,R514-0017,0.95,2,0.3444111759557984,0.0311007222942217,0.3410660660660661,0.3054919908466819,0.3867438867438867,0.32311501370058004,0.04356715738335394,0.33793103448275863,0.2583333333333333,0.37404718693284933,0.41076388888888893,0.024662556745944128,0.4027777777777778,0.3888888888888889,0.44270833333333337
674,R514-0017,0.98,0,,,,,,,,,,,,,,,
675,R516-0013,0.75,256,0.26933951314386095,0.03192009778255532,0.2589285714285714,0.24305555555555555,0.32065217391304346,0.2398809523809524,0.03024606194264881,0.23333333333333334,0.21071428571428574,0.275,0.33,0.04472135954999581,0.3,0.3,0.4
676,R516-0013,0.85,112,0.30671620046620046,0.0745500139213856,0.34134615384615385,0.1875,0.3693181818181818,0.24696969696969698,0.0645386075469211,0.275,0.15,0.31666666666666665,0.41000000000000003,0.09617692030835673,0.45,0.25,0.5
677,R516-0013,0.9,45,0.3097549019607843,0.0219320978606824,0.3125,0.2757352941176471,0.3345588235294118,0.2381818181818182,0.016474877917226318,0.2409090909090909,0.2125,0.25416666666666665,0.45,0.03535533905932737,0.45,0.4,0.5
678,R516-0013,0.95,0,,,,,,,,,,,,,,,
679,R516-0013,0.98,0,,,,,,,,,,,,,,,
680,R517-0013,0.75,208,0.34926738313366223,0.03202821991792749,0.3484848484848485,0.3138888888888889,0.39059196617336156,0.4037355546083168,0.016077287069006126,0.4009259259259259,0.38888888888888884,0.43094629156010233,0.32976190476190476,0.03295017629686279,0.3205128205128205,0.2889194139194139,0.36813186813186816
681,R517-0013,0.85,102,0.3335893241532628,0.04785369783524485,0.33305180180180183,0.2686868686868687,0.40153452685422,0.3945859249307525,0.013008255538212518,0.4,0.3804713804713805,0.40830721003134796,0.3304945054945055,0.06319875663521148,0.32234432234432236,0.24816849816849818,0.4230769230769231
682,R517-0013,0.9,34,0.39516812494597225,0.029086485421885543,0.4,0.3545310015898251,0.42810457516339867,0.4013533441754857,0.01720673524592262,0.4022727272727272,0.38095238095238093,0.425,0.41547619047619044,0.04836560806918873,0.41117216117216115,0.3557692307692308,0.4807692307692308
